Customer_Code,Customer_Name,Customer_City,Customer_Longitude,Customer_Latitude,CustomerType_Name_Fa,Customer_Classification
1020116,???? ?????,??,50.87043774,34.59967976,??????,A
1025799,???? ????? ????,??,50.83504792,34.6518354,??????,C
1023350,???????? ?????,????,49.68924538,34.09432599,??????,A
1024599,??? ????,??,50.81517189,34.56161173,??????,A
1025025,??????? ? ???? ??????? ???????? ? ?,????,50.36120757,35.01925752,??????,B
1022138,???? ?????,????,49.77867183,34.07131902,??????,B
1181427,????? ?????,????,49.70334115,34.087032,??????,C
1153767,??? ???? ???? ???????,????,49.68896513,34.11326292,??????,C
1148674,???? ?????,????,50.3495833,35.00739655,??????,A
1173946,????? ????? ???? ?????,?????,51.47390524,34.06464768,??????,C
1023114,???? ????,????,49.70709214,34.07546666,??????,B
1023094,????? ?????,????,49.69685963,34.08084475,??????,B
1181585,????? ?????????  ????? ?????????,????,49.69912833,34.073285,??????,C
1023508,???? ???? ????,????,49.70717749,34.07295613,??????,B
1165743,???????? ?????,????,50.35882887,35.01792736,??????,B
1158982,????  ??????? ?????,???? ? ?????,51.47162568,34.05125027,??????,C
1021450,?????? ? ??? ???????,????,50.36272523,35.01877016,??????,B
1151091,???. ???? ????? ??? ?????,???? ? ?????,51.43038225,34.07724644,??????,A
1176524,???????  ?????,??,50.5141326,34.77760243,??????,C
1134063,????? ?????,??,50.86604,34.71633,??????,C
1020703,??????? ?????,??,50.86664499,34.70481092,??????,C
1170510,????? ?????,????,49.67871068,34.06848379,??????,C
1025776, ?????????,??,50.85850579,34.61354237,??????,A+
1134112,??? ??? ?????,????,49.68241531,34.06568902,??????,C
1022072,???? ?????,????,49.68293789,34.06592012,??????,C
1025710, ???????? ?????? ????,??,50.87730921,34.61314348,??????,A+
1023201,???? ???????,????,49.69968789,34.09909258,??????,A
1160629,?????? ????? ?????,??,50.87982858,34.65153046,??????,C
1176072,???? ??? ??? ???,??,50.86442353,34.61309865,??????,C
1020128,??? ?????? ? ???? ?????????,??,50.86178331,34.61417623,??????,B
